full,address,phone,U-pick pumpkins,Mazes & events,Rides,Seasonal treats,Fall décor,description,expand,farm/event,features,url
Bush’s Fern View Farms,90536 Territorial Highway Junction City OR,541-935-6362,&check;,&check;,,&check;,&check;,"Fall harvest highlights include freshly pressed apple cider made from farm apples; 15 to 20 varieties of apples; plenty of fall décor, including corn stalks and gourds; a hay maze for kids (no charge) and a U-pick pumpkin patch. Weekend hours: 11 a.m. to 6 p.m. Saturday; noon to 5 p.m. Sunday. The Vintage Country Road Show will be at the farm from 10 a.m. to 4 p.m. Saturday, Oct. 1.",,Bush’s Fern View Farms,PMTF,
<a href='http://www.deteringorchards.com'>Detering Orchards</a>,30946 Wyatt Drive Harrisburg OR,541-995-6341,&check;,&check;,&check;,&check;,&check;,"The Apple Daze Kickoff is Saturday and Sunday, Oct. 1-2, featuring free apple cobbler and apple cider samples, family-friendly corn maze and hay maze, an apple blaster and tractor rides, fall produce and fall décor. Live music will be playing from 11 a.m. to 3 p.m. There’s also a U-pick pumpkin patch. The farm stand fun continues through October as follows: Apple Daze Fall Harvest, Oct. 8-9; Apple Daze & Pumpkin Cupcakes, Oct. 15-16; Apple Daze and Pumpkins, Oct. 22-23; Apple Daze and Halloween Costume Contest, Oct. 29-30. Also, Harvest Cornicopia Daze are Nov. 12-13. Weekend hours: 8 a.m. to 6 p.m. Saturday and Sunday.",,Detering Orchards,PMHTF,http://www.deteringorchards.com
FOOD for Lane County’s Youth Farm,705 Flamingo Ave. Springfield OR,541-284-3703,,,,&check;,,Support feeding Lane County’s hungry as well as the good works of volunteer youths with pumpkins and other fall produce purchases at the farm stand through October. The stand is open from 10 a.m. to 2 p.m. Saturdays.,,FOOD for Lane County’s Youth Farm,T,
<a href='http://www.gatheringtogetherfarm.com'>Gathering Together Farm</a>,"25159 Grange Hall Road, Philomath",541-929-4270,,&check;,,&check;,&check;,"This farm stand north in Linn County is well worth a country drive what with fall produce, including winter gourds and pie pumpkins, and a restaurant open for breakfast on Saturdays from 9 a.m. to 2 p.m. and for dinner on Friday and Saturday from 5:30 p.m. to 9 p.m. Reservations are recommended for dinner. Farm stand weekend hours: 9 a.m. to 5 p.m. Saturday, closed Sunday, through November 12.",,Gathering Together Farm,MTF,http://www.gatheringtogetherfarm.com
<a href='http://www.groundworkorganics.com'>Groundwork Organic</a>,91360 River Road Eugene OR,541-998-0900,&check;,,,,&check;,"U-pick pumpkin patch opens Saturday, Oct. 1; fall harvest includes pumpkins, gourds, apples. Weekend hours: 9 a.m. to 6 p.m. Friday through Sunday.",,Groundwork Organics,PF,http://www.groundworkorganics.com
<a href='http://www.hentzefarm.com'>Hentze Family Farm</a>,30045 Hentze Lane Junction City OR,541-998-8944,&check;,&check;,&check;,&check;,&check;,"Special Octoberfest event is Oct. 8-9 featuring tractor trailer rides to the pumpkin patch, face painting and barbecue, including burgers, chicken, hot dogs and brats. Ongoing harvest highlights throughout October include tractor trailer rides on weekends to the U-pick pumpkin patch; seasonal produce such as beets, carrots, pumpkins, apples, pears. Meet giant Jack O’Lanterns during Night Walks through the pumpkin patch Oct. 20-22, Oct. 27-29; these start at dark. Weekend hours: 9 a.m. to 6 p.m. Saturday and Sunday, through Dec. 24.",,Hentze Family Farm,PMHTF,http://www.hentzefarm.com
<a href='http://www.herrickfarms.com'>Herrick Farms</a>,88088 Millican Road Springfield OR,541-741-1046,&check;,,&check;,&check;,&check;,"Fall harvest highlights include hayrides to U-pick pumpkin patch ($1 per person) from 9 a.m. to 5:30 p.m.; fall décor such as gourds and corn stalks; fall produce such as apples and pears; and locally made goodies including Paula Herrick’s Jams and Jellies, various pickled goods, Kopper Kettle caramel corns and caramel apples. Also freshly harvested hazelnuts. Weekend hours: 9 a.m. to 6 p.m. Saturday and Sunday, through December.",,Herrick Farms,PHTF,http://www.herrickfarms.com
Johnson Vegetable Farms,89733 Armitage Road Eugene OR,541-343-9594,&check;,&check;,&check;,&check;,,Take “Walt’s Wild Wagon Ride” to the U-pick pumpkin patch on weekends from 11 a.m. to 5:30 p.m. through Oct. 31; load up buckets with mini pumpkins and hurl them at scarecrow targets ($5 per person). There’s also pumpkin launching at the pumpkin patch. The farm stand includes plenty of seasonal produce and other treats; its weekend hours are from 10 a.m. to 6 p.m. Friday and Saturday; 11 a.m. to 5 p.m. Sunday through October.,,Johnson Vegetable Farms,PMHT,
<a href='http://www.lonepinefarms.com'>Lone Pine Farms</a>,91909 River Road Junction City OR,541-688-4389,&check;,&check;,&check;,&check;,&check;,"Offers many seasonal activities including the Pumpkin Patch Express, with transport to the U-pick pumpkin patches via either tractor-drawn wagon ($4 for ages 1 and older) or drafthorse-drawn wagon (weather permitting, $5 for ages 1 and older); the Cow Train Trail Ride over the grassy knolls ($4.50 for ages 3 and older); and the 10-acre Corn Maze (10 a.m. to 5 p.m. daily; $5 ages 11 and younger, $7 ages 12 and older). The Barnyard Cafe serves seasonal treats such as caramel apples, pumpkin spice, apple cider doughnuts, hot apple cider as well as barbecue hamburgers and roasted corn. Lone Pine Farms’ weekend hours: 9 a.m. to 7 p.m. Friday through Sunday, through Oct. 31, unless otherwise noted.",,Lone Pine Farms,PMHTF,http://www.lonepinefarms.com
ME & Moore,34137 Seavey Loop Road Eugene OR,541-741-4790,&check;,,,&check;,&check;,"Plenty of fall décor including ornamental gourds and squash. A U-pick pumpkin patch will be open on weekends starting in mid-October. Cold weather crops include fall apples, pears, broccoli, cabbage, etc. Weekend hours: 9 a.m. to 6 p.m. Saturday; closed Sunday until the last two weeks before Halloween, when the farm also will remain open on Sundays.",,ME & Moore,PTF,
